smiles,1syh score,4lde score,6y2f score,time (s)
O(c1cc(/C=C/c2nccc3c2cccc3)ccc1OC)C,3.2,-9.9,-6.1,17.29030728340149
O=C(c1[nH]c2c(n1)cccc2)/C=C/c1ccc(N(C)C)cc1,8.8,-9.9,-6.2,20.298521280288696
[O-][N+](=O)/C=C\1/N=C(N)c2c1cccc2,-8.9,-8.3,-5.1,6.430980682373047
n1ccc(/C=C(/c2c3c(ccc2)cccc3)\C#N)cc1,-3.6,-9.9,-6.1,12.925300121307371
[O-][N+](=O)C(C1CCC/C(=N\NC(=O)N)/C1)C,-9.1,-7.8,-5.8,9.54858922958374
O=C1C(C2N(C(CC2)/C/1=C/c1cc2OCOc2cc1)C)Cc1cc2OCOc2cc1,8.5,-7.5,-7.5,34.57305550575256
[O-][N+](=O)c1c(N/N=C/2\CCCC\C2=C/c2ccccc2)ccc([N+](=O)[O-])c1,10.0,-10.0,-7.3,30.63569402694702
S(=O)(=O)(N/N=C(/CCn1[nH]c(=O)ccc1=O)\C)c1ccc(cc1)C,-5.2,-9.9,-6.1,29.68250632286072
S(=O)(=O)(Nc1cc(/C=C/2\CCOC2=O)cc(OC)c1OC)c1ccc([N+](=O)[O-])cc1,2.9,-8.3,-7.6,52.27624320983887
O1C(C(CC1)c1ccccc1)/C(=N/Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1)/c1ccccc1,6.5,-9.5,-8.6,56.79063892364502
o1c2n(O)c(c/c(=N\O)/c2c(=O)cc1)C,-9.6,-8.3,-5.7,6.146956920623779
O(c1cc2C3N(CC(C(C3)/C=C/3\NCCc4c3cc(OC)c(O)c4)CC)CCc2cc1OC)C,23.8,-3.6,-7.7,46.86873149871826
O(c1cc(/C(=C/c2ccccc2)/C(=O)O)c([N+](=O)[O-])cc1)C,-6.0,-10.0,-5.9,18.64011716842652
Clc1cc(C(=O)N/N=C/2\c3c4c(c5c(cc4ccc3)cccc5)C2=O)ccc1,20.7,-8.2,-8.4,20.990089654922485
N1(N=C(CC1(C)C)C)c1nc(nc(n1)N)/C(=C/c1ccncc1)/C#N,7.3,-9.3,-7.6,25.83203387260437
OC1CC2C(C3C(C4C(CC3)(C(=O)/C(=C/N3CCCCC3)/C4)C)CC2)(CC1)C,33.0,-6.2,-8.0,16.412236213684082
S(=O)(=O)(N/N=C/Cc1c(cc(cc1C)C)C)c1ccc(cc1)C,-1.3,-10.0,-5.7,25.308273553848267
O(c1cc(O)c(cc1)C(=O)/C=C/c1ccccc1)CC=C(C)C,-1.5,-10.0,-6.5,25.358825206756592
o1c(cc(c2ccccc2)c/c/1=N\n1cnnc1)c1ccccc1,5.3,-7.8,-7.9,19.029537677764893
O1CC/C(=C\c2cc(/C=C/3\CCOC3=O)ccc2)/C1=O,-4.2,-10.0,-6.6,11.78041410446167
OC(=O)c1cc(/C=C/c2ccccc2)ccc1,-3.9,-10.0,-6.4,10.179608345031738
O=CN/N=C\c1c2c(ccc1)cccc2,-9.5,-8.6,-5.2,7.663477659225464
O=C(N/N=C\c1ccc(c2ccccc2)cc1)c1c(N(C)C)cccc1,3.2,-9.9,-6.7,32.44698166847229
O(C1=CC(=O)C(=C/C/1=C\C=C\c1ccccc1)O)C,-2.1,-10.0,-6.0,11.861161231994627
O=C(Nc1nc(ncc1/C=C/C=C/c1ccc([N+](=O)[O-])cc1)NC(=O)C)C,112.5,-10.0,-6.6,41.19851922988892
O1C2(O)CC(C(c3c2cccc3)c2ccc(OC)cc2)C/C/1=N\Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1,21.0,-7.3,-7.7,62.55067801475525
N(c1cc2c(nc(cc2)/C=C/c2ccccc2)cc1)(C)C,20.5,-10.0,-5.8,14.672985553741457
OC(=O)C1CCC/C(=N/NC(=O)N)/C1,-8.8,-7.8,-5.4,7.897330522537231
O=C1N(C(=O)N(C(=O)C1=C/C=C/N(c1ccccc1)C)C)C,5.2,-9.9,-5.9,14.896052360534668
O=C(N/N=C/1\C2(C(C3C(C4(C(CC3)C/C(=N/NC(=O)N)/CC4)C)CC2)CC1)C)N,36.2,-6.3,-8.1,22.423908710479736
ClCCN(CCCl)c1ccc(cc1)/C=N\NC(=O)C(=O)c1c2c([nH]c1)cccc2,0.2,-10.0,-6.4,54.96119904518128
O1c2c(OC1)ccc(c2)/C=C/c1ccc(N(C)C)cc1,9.6,-10.0,-5.5,12.817238569259644
O1C2(C3OC(OC3COC2OC1(C)C)(C)C)/C=N\NC(=O)c1[nH]c2c(c1)cccc2,10.5,-7.9,-7.5,33.57965898513794
O=C1CC2(C(CCC2C(C)C=C)(C2=C1C1(C(=C(O)C2=O)C(C(O)/C(=N\O)/C1)(C)C)C)C)C,21.5,3.9,-8.0,20.34167456626892
[nH]1c2c(nc1/C=C/c1[nH]c3c(n1)ccc(c3)C)ccc(c2)C,29.9,-10.0,-6.0,12.899160623550417
[O-]/C(=N/[n+]1c2-c3c4c(-c2nc2c1cccc2)cccc4ccc3)/CCN1CCCCC1,4.1,-3.1,-7.7,36.47652316093445
O=c1[nH]c(cc(=O)[nH]1)/C=N\NC(=O)c1ccccc1,-8.6,-8.4,-6.0,11.909623384475708
Nc1cc2c(-c3c(/C/2=C\c2ccc(N)cc2)cccc3)cc1,-4.2,-8.9,-7.7,14.205411434173584
O/N=C\c1cc2c3N(CCC2)CCCc3c1,-9.3,-7.9,-5.9,8.343249082565308
S(=O)(=O)(N)c1ccc(N/N=C/2\C(N(N=C2C)C(=O)c2ncccc2)c2ccccc2)cc1,10.4,-8.9,-7.8,58.34610605239868
Oc1c(c(cnc1C)/C=C/C(=O)O)C=O,-9.3,-7.4,-5.2,10.19021201133728
O=C(N/N=C/1\CCC2(CCCCC2=C1)C)N,-9.2,-8.9,-5.8,8.011706352233887
O1C2(O)C3C4(C(C(C2O)C)CC(=O)OC4C(OC(=O)/C(=C/C)/C)C2C3(C(O)C(O)C=C2C)C)C1,12.7,-0.1,-8.8,34.45375967025757
O=C1C(C2(Cc3c(C2=O)cccc3)/C=[N+](\[O-])/C(C)(C)C)(Cc2c1cccc2)/C=[N+](\[O-])/C(C)(C)C,9.4,-0.9,-8.1,55.29603552818298
s1c(nc2c1cccc2)C1/C(=N/NC(=O)NN)/C(=O)N(c2c(cccc2C)C)C(=O)C1=O,21.0,-5.0,-8.1,42.18789982795715
O1C(C(C(=O)C(=O)Nc2c(cc([N+](=O)[O-])cc2)C#N)C(=O)/C=C/c2ccccc2)c2c(C1=O)cccc2,9.6,-5.5,-8.1,97.5932834148407
S(=O)(=O)(C/C(=N\Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1)/c1ccccc1)c1ccc(cc1)C,5.0,-9.1,-7.6,58.28322720527649
S(=O)(=O)(/N=C\1/c2c(C(=O)C(=C1)SCC(=O)O)cccc2)c1ccc(OCC)cc1,1.1,-7.3,-7.5,46.1399667263031
Clc1c(/C=C/CN2CCC(O)(CC2)c2ccccc2)cccc1,10.4,-10.0,-6.5,24.270368814468384
O=C(NCCC(=O)O)c1ncnc2nc[nH]c12,-8.9,-7.2,-5.9,11.752326965332031
N(=C(\N=C(N)N)/N)\c1n[nH]nn1,-9.2,-6.9,-5.2,6.852763891220093
O(C(=O)C/C(=C(/c1cc2c(cc1)cccc2)\C)/C(=O)O)CC,-3.8,-10.0,-5.7,19.937471389770508
O/N=C/1\C2(C(C3C(C4(C(=C/C(=N/O)/CC4)CC3)C)CC2)CC1)C,6.0,-7.3,-7.5,8.844882011413574
[Si](OC1C(OC(/C/1=N\O)CO[Si](C(C)(C)C)(C)C)n1c(=O)[nH]c(=O)cc1)(C(C)(C)C)(C)C,16.6,-5.7,-8.3,57.200085163116455
O(c1cc(O)cc(O)c1)C(=O)/C=C/c1ccccc1,-7.1,-10.0,-6.4,13.830735683441162
ON(c1ccc(cc1)/C=C/c1ccccc1)C(=O)CCC(=O)O,17.1,-10.0,-6.4,28.71195864677429
c12c(C=C/C/1=C/C=C/c1ccccc1)cccc2,-4.6,-9.9,-6.2,9.53121852874756
[O-][N+](=O)c1c(N/N=C(\CC2CCCCC2)/C)ccc([N+](=O)[O-])c1,-4.8,-10.0,-6.3,24.24280571937561
ON(c1ccc(cc1)/C=C/c1ccccc1)C(=O)C,7.2,-9.9,-6.1,12.647879362106323
OC(=O)/C(=C/c1cc([N+](=O)[O-])ccc1)/CC,-9.0,-8.3,-5.6,10.66653037071228
OC(CN(/N=C\c1oc([N+](=O)[O-])cc1)C(=O)N)C,-8.8,-7.6,-5.8,15.805083513259888
Oc1c(/C=C/C(=O)c2ccc([N+](=O)[O-])cc2)cccc1,-2.6,-9.9,-6.2,16.882586002349854
O(c1ccc(/C=C\2/c3c(C=C2)cccc3)cc1)C,-1.0,-10.0,-6.0,8.82285189628601
O(c1cc(O)c(C(=O)/C=C/c2c3c([nH]c2)cccc3)cc1)C,0.5,-9.9,-6.6,20.27571749687195
S1/C(=C\c2ccc([N+](=O)[O-])cc2)/C(=O)N(C1=S)C=C(C(=O)N)C(=O)N,9.6,-9.9,-6.8,28.18194031715393
O1c2c(OC1O)ccc(c2)/C=C/1\N=C(OC1=O)c1cc(ccc1)C,5.6,-9.9,-7.8,19.144772052764893
s1c(nc2c1cccc2)C1/C(=N/NC(=O)NN)/C(=O)N(C(=O)C1=O)c1sccn1,18.4,-6.0,-7.9,34.94921135902405
OC(=O)/C=C(/c1ccc(c2ccccc2)cc1)\C,0.5,-10.0,-6.6,12.354909420013428
O=c1n(N2C(=N/C(=C\c3ccc(O)cc3)/C2=O)C)c(nc2c1cccc2)c1ccccc1,37.4,-1.3,-7.6,39.48166513442993
S(=O)(=O)(N(CCC#N)c1ccc(cc1)/C=C/1\N=C(OC1=O)Cc1ccccc1)c1ccccc1,13.6,-10.0,-6.7,62.75217819213867
O1C(=N/C(=C\c2ccc(O)cc2)/C1=O)/C=C/c1ccccc1,8.1,-10.0,-6.4,16.629732608795166
O=c1n(/N=C\CC/C=N\n2c(n[nH]c2=O)Cc2ccccc2)c(n[nH]1)Cc1ccccc1,0.6,-9.9,-6.9,74.2134211063385
O=c1n(N2C(=N/C(=C\c3cc(OC)ccc3)/C2=O)C)c(nc2c1cccc2)c1ccccc1,31.1,-3.9,-7.5,49.64620113372803
Clc1c2NC(=O)C(O)(c2cc(Cl)c1)C/C(=N\NC(=O)CC#N)/c1c2c(ccc1)cccc2,7.9,-7.9,-7.7,56.95046520233154
O(c1c(O)c(/C=C/C(=O)c2c(O)cccc2)ccc1)C,-2.7,-10.0,-6.5,15.717350721359251
O=C(N/N=C(\CC)/C=C/c1ccc(cc1)C)c1ccccc1,3.0,-9.9,-6.0,22.32085108757019
n1c2/C(=C/c3c(N)cccc3)/c3c(-c2nc2c1cccc2)cccc3,8.4,-9.1,-7.9,14.27710771560669
OC(=O)/C=N\Nc1[nH]c2c(n1)cccc2,-8.8,-7.8,-6.2,8.696694135665894
s1c(nc2c1cccc2)C1/C(=N/NC(=S)NN)/C(=O)N(c2c(c(ccc2)C)C)C(=O)C1=O,16.5,-5.8,-7.5,56.5835120677948
O=C1C2(C(C3C(C4(C(=CC3)CC(O)CC4)C)CC2)C/C/1=C\N1CCOCC1)C,29.7,-6.2,-7.7,16.65829300880432
OC(=O)C(NC(=O)c1ccccc1)C/C(=C/NC(=O)c1ccccc1)/NC(=O)c1ccccc1,11.9,-7.6,-8.5,86.668452501297
Clc1ccc(/C=C/2\N=C(N(n3c(nc4c(c3=O)cccc4)c3ccccc3)C2=O)C)cc1,47.1,-3.1,-7.7,37.67050528526306
O(Cc1ccc([N+](=O)[O-])cc1)c1ccc(cc1)/C=C/c1ncccc1,4.7,-9.9,-6.2,31.84380865097046
Clc1c2-c3c(C(=O)c2cc(Cl)c1)cc(Cl)cc3NC(=O)/C=C/C(=O)O,-1.4,-5.2,-7.9,19.887151956558228
O=C(/C=C/N1CCN(CC1)c1ccccc1)c1c(cc(cc1)C)C,14.9,-9.9,-6.4,24.826972484588623
s1c(/C=C/C(=O)c2cc(c(O)cc2)C(=O)O)ccc1,-5.6,-10.0,-6.9,16.27708601951599
O=C(N/N=C(/CC1=CCCCC1)\C)N,-8.9,-7.6,-5.2,9.4112868309021
O1Cc2c(c(O)c(c(OC)c2C)C/C=N\O)C1=O,-9.1,-8.6,-6.2,11.078462600708008
S(=O)(=O)(Nc1cc(/C=C/2\CCOC2=O)ccc1OC)c1ccccc1,-5.8,-10.0,-7.1,28.92639636993408
OC(=O)CC/C(=N\O)/c1cc([N+](=O)[O-])ccc1,-9.3,-9.1,-6.0,12.698936462402344
s1c2c(nc1/C=C/c1ccc([N+](=O)[O-])cc1)cccc2,10.5,-9.9,-5.8,11.808750867843628
O1c2c(OC1)ccc(c2)C(=O)/C=C/c1cc(OC)c(OCc2ccccc2)cc1,15.8,-10.0,-6.7,40.90252304077149
O=C(c1ccc(cc1)C)/C=C(/c1ccc(cc1)C)\C,1.9,-9.9,-5.8,12.432810068130491
o1c(ccc1[N+](=O)[O-])/C=C(/[N+](=O)[O-])\C#N,-8.7,-7.1,-4.9,10.11889624595642
O(c1ccc(/C=C/C(=O)c2ccc(N)cc2)cc1)C,-0.8,-9.9,-5.8,14.601935863494871
OC1(c2c(NC1=O)cccc2)C/C(=N\NC(=O)C(=O)N)/c1cc2c(cc1)cccc2,8.3,-8.3,-8.3,47.35984563827515
O1c2c(C(=O)/C/1=C\c1ccc(O)cc1)ccc(O)c2,-2.6,-10.0,-6.6,10.02794337272644
O=C1c2c(C/C/1=C\c1c(c(ccc1)C)C(=O)OC)cc(cc2C)C,6.3,-10.0,-6.2,16.296645879745483
Clc1cc(C(=O)/C=C/c2cc3OCOc3cc2)c(O)cc1,0.5,-10.0,-6.8,14.555073499679564
Clc1cc(ccc1[N+](=O)[O-])/C=C/C=C/c1ccccc1,14.2,-9.9,-5.6,16.66625952720642
OC1=C(C/C=C(\C)/C(=O)OCC)C(=O)C(=O)c2c1cccc2,-4.8,-9.9,-6.4,19.34018397331237
[O-][N+](=O)c1c(N/N=C(\C2C3CC(C2)CC3)/C)ccc([N+](=O)[O-])c1,-3.9,-10.0,-6.1,23.934802055358887
O(c1cc(/C=C/C(NC(=O)C)c2cc(=O)c(O)ccc2)cc(OC)c1OC)C,5.8,-9.9,-6.9,34.61798620223999
OC(=O)c1ccc(/C=C/c2ccc(N)cc2)cc1,3.2,-9.9,-6.4,11.193931818008425
OC(=O)/C=C/c1cc2CCCc2cc1,-9.4,-8.3,-5.5,7.441069602966309
O(c1c(NC(=O)C)cc(/C(=N\Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2)/C)cc1)C,-4.1,-10.0,-6.9,39.41224718093872
FC(F)(F)c1cc(N/N=C(/C(=O)N)\C#N)ccc1,-8.8,-8.1,-6.0,13.699158191680908
S1C(=NC(=O)/C/1=C/c1c(nn(c1)c1ccccc1)c1ccccc1)N1CCOCC1,24.6,-7.6,-7.9,43.619155406951904
o1c(/C=C/C(=O)c2cc([N+](=O)[O-])ccc2)ccc1[N+](=O)[O-],-5.3,-10.0,-6.1,18.13573288917541
Fc1ccc(/C=C/C(=O)N2CCC3(N(CN(C3=O)C)c3ccccc3)CC2)cc1,26.0,-6.9,-7.7,27.479625701904297
OC(=O)C(NC(=O)/C=C/c1ccccc1)Cc1ccccc1,-4.3,-9.9,-6.1,25.34359741210937
Clc1cc(NC(=S)NC(=O)/C=C/c2ccccc2)c(O)cc1,-3.9,-10.0,-6.8,27.231279373168945
O1CCN(C23N(N=NC2CC/C/3=C\c2cc([N+](=O)[O-])ccc2)c2ccc([N+](=O)[O-])cc2)CC1,18.9,-6.1,-7.8,51.5543909072876
O(C(=O)C1C(N(NC1=O)/C=C\1/C(=O)C=CC=C1)c1ccc([N+](=O)[O-])cc1)CC,-2.5,-8.9,-7.6,42.52183437347412
o1c2n(O)c(c/c(=N\O)/c2c(=O)c([N+](=O)[O-])c1)C,-8.7,-8.1,-6.3,8.55445909500122
O(c1c(O)c(c(O)cc1OC)C(=O)/C=C/c1ccccc1)C,0.7,-10.0,-5.9,20.053736209869385
Clc1c(/C(=C/c2nc3c(nc2)cccc3)/N)cccc1,4.8,-9.9,-6.6,11.590850353240969
O(c1cc2C(Cc2cc1OC)CNC(=O)/C=C/c1ccccc1)C,-2.1,-9.9,-6.3,26.699429035186768
O=C(Nc1c([N+](=O)[O-])cccc1)/C=C/C(=O)O,-8.9,-8.0,-5.6,11.342787504196169
O/N=C(/c1cc2c(cc1)cccc2)\CN,-8.8,-8.4,-5.6,8.425489664077759
O(C(=O)c1c2-c(c(c1N)C(=O)OCC)ccc(cc2)/C=C/c1ccccc1)CC,28.7,-10.0,-6.9,44.17261672019959
O=C(N1c2c(CC1)cccc2C/C(=N/O)/c1ccccc1)C,-5.6,-9.9,-6.6,17.02770709991455
O(c1c(/C=C/c2nc3c(cc2)cccc3)cccc1)C,4.2,-10.0,-6.2,12.424175024032593
O=c1[nH]c(cc(=O)[nH]1)/C=N\NC(=O)c1ccncc1,-8.7,-7.9,-5.9,12.553078413009644
S(=O)(=O)(/N=C/1\C2C(CC=CC2)/C(=N\S(=O)(=O)c2ccccc2)/c2c1cccc2)c1ccccc1,21.2,-1.5,-7.8,48.34137773513794
Clc1cc(NC(=O)/C(=N\NC(=O)CC#N)/C2CN(N=C2N)c2ccccc2)ccc1Cl,10.6,-7.8,-7.8,59.12700605392456
O(/N=C(/[N+](=O)[O-])\C)C(=O)c1ccccc1,-8.9,-8.0,-5.4,9.33753514289856
O(c1ccc(/C(=N/Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2)/c2ccc([N+](=O)[O-])cc2)cc1)C,12.2,-4.7,-7.6,60.254998445510864
O=C(N1CCCCC1)/C=C/C=C/c1cc(OC)c(O)cc1,10.7,-10.0,-6.1,16.02022957801819
O=C(N/N=C(\CC1C(CCCC1)CCC)/C)N,-9.3,-7.4,-5.2,13.193102598190308
O(c1ccc(/C(=N/Nc2n(c3c(n2)cccc3)Cc2ccccc2)/C(=O)O)cc1)C,8.5,-10.0,-7.1,51.41559624671936
o1c2c(c(c1C(=O)O)/C=C/c1ccccc1)cccc2,-2.5,-9.9,-6.4,13.849509716033936
OC(=O)/C(=C\c1c(N)cccc1)/c1ccccc1,-6.3,-10.0,-6.0,10.50904393196106
O(c1ccc(/C(=N/Nc2[nH]c3c(n2)cccc3)/C(=O)O)cc1)C,5.3,-9.9,-7.1,24.010900259017944
O1C2(C1c1ccccc1)Cc1c(/C/2=N/Nc2ccccc2)cccc1,0.1,-5.6,-8.2,23.21943426132202
s1c(/C=C/C(=O)c2cc([N+](=O)[O-])ccc2)ccc1[N+](=O)[O-],-3.2,-10.0,-6.1,19.211759090423584
[nH]1c2c(nc1/C=C/c1[nH]c3c(n1)cc(c(c3)C)C)cc(c(c2)C)C,55.9,-10.0,-6.3,14.818302631378174
O(C(=O)N(O)c1ccc(cc1)/C=C/c1ccccc1)CC,9.2,-9.9,-5.9,20.094570875167847
Oc1[nH]c(=O)cc(c1C(=O)/C=C/c1ccccc1)C,-6.0,-10.0,-6.0,13.158668279647827
O/N=C(\CCc1ccccc1)/CNc1c([N+](=O)[O-])c(nc(NC(=O)OCC)c1)N,-2.2,-9.9,-6.3,61.70140528678894
OC(=O)CC/C(=N\Nc1ccc(cc1)C(=O)O)/C,-8.7,-8.9,-5.8,14.408912658691406
O=C(C1CCC/C/1=N\NC(=O)C(=O)NN)CCC(=O)Nc1cc(cc(c1)C)C,0.2,-10.0,-7.3,57.72355604171753
Clc1ccc(NC(=O)CCC/C(=N\NC(=O)C(=O)NN)/CC(=O)c2ccc(F)cc2)cc1,0.6,-10.0,-6.8,93.89903783798218
O1CCN(CC1)/C(=C\C(=O)c1ccccc1)/c1ccccc1,-3.0,-9.9,-6.4,19.751161336898804
O1C(=N/C(=C\c2ccc(N(C)C)cc2)/C1=O)c1c(noc1C)c1ccccc1,12.6,-5.9,-7.5,30.544172763824463
O1C2(O)C3C4(C(C(C2O)C)C(OC(=O)/C(=C/C)/C)C(=O)OC4CC2C3(C(O)C(=O)C=C2C)C)C1,9.0,-3.6,-8.5,29.47229313850403
OC(=O)/C(=C\c1ccc([N+](=O)[O-])cc1)/CCc1ccccc1,-5.8,-10.0,-6.2,21.10216498374939
S(=O)(=O)(N/N=C(\Cc1ccccc1)/C)c1ccc([N+](=O)[O-])cc1,-6.1,-10.0,-5.5,25.911593198776245
O/N=C(/Cc1ccc(cc1)C)\Cc1ccccc1,-7.1,-10.0,-5.2,14.172222375869753
O=C1C2CCN(CC2)/C/1=C/c1ccc(OCc2ccccc2)cc1,7.0,-10.0,-6.7,20.903878211975098
Clc1ccc(C(/C(=N/NC(=O)C(=O)NN)/C(=O)Nc2scc(n2)[N+](=O)[O-])C#N)cc1,5.3,-6.5,-7.5,69.18214893341064
O=C(/C(=N/Nc1ccccc1)/c1ccc([N+](=O)[O-])cc1)c1ccc([N+](=O)[O-])cc1,4.5,-10.0,-7.4,49.90987515449524
S(=O)(=O)(N/N=C\1/C2(CCCC1)CCC(=O)NC2)c1ccc(cc1)C,-1.5,-9.9,-6.2,22.426909685134888
s1c(ccc1[N+](=O)[O-])/C=N\NC(=O)C(=O)N,-8.7,-7.1,-5.5,11.641161918640137
OC(=O)/C(=N\O)/Cc1ccc([N+](=O)[O-])cc1,-9.4,-8.1,-6.1,10.28993558883667
OC(=O)/C(=N\O)/Cc1c2c(ncc1)cccc2,-8.9,-8.6,-5.8,9.419307947158812
O=C(NO)/C(=N/O)/Cc1ccccc1,-9.6,-8.1,-5.8,9.58918595314026
O=c1nc2[nH]nc(c2n[nH]1)c1ccccc1,-9.0,-8.9,-6.3,8.258003234863281
S(=O)(=O)(N/N=C(/c1n[n+]([O-])ccc1)\C)c1ccc([N+](=O)[O-])cc1,-5.9,-9.9,-6.5,22.64908742904663
O=C1N(c2cc(c(cc2)C)C)C(=O)/C(=N/O)/C1C(=O)Nc1cc(c(cc1)C)C,27.8,-10.0,-7.0,30.304291486740112
O=c1n2c3c(n4c(n[nH]c4=O)c2n[nH]1)cccc3,-10.0,-8.2,-6.1,6.827502250671387
Clc1c(c(NC(=O)/C(=N/O)/C(c2nc3c(nc2)cccc3)C(=O)OC)ccc1)C,2.4,-10.0,-7.6,40.52946209907532
o1nc2c3n[nH]nc3cc([N+](=O)[O-])c2n1,-9.3,-8.3,-5.4,6.803445339202881
O=C(Nc1c(CC)cccc1)/C=N\O,-8.7,-8.1,-5.1,8.451629161834717
O=C1c2c(C/C/1=N/O)c(ccc2C)C,-8.6,-10.0,-5.4,6.076178073883057
[O-][N+](=O)c1ccc(Nc2n[nH]nc2)cc1,-8.8,-7.6,-5.5,9.080941677093506
O1C(c2ccccc2)/C(=N/O)/C(=O)c2c1cccc2,-6.2,-9.9,-6.7,10.248514652252195
O=C1c2c(C/C/1=N\O)cccc2,-8.6,-8.5,-5.0,4.986386299133301
o1c(CNc2ncnc3n[nH]nc23)ccc1,-8.7,-7.6,-5.8,9.680880546569824
OC1CC2C(C3C(C4C(CC3)(C(=O)/C(=N/O)/C4)C)CC2)(CC1)C,5.4,-5.8,-7.5,8.984297275543213
