smiles,homo,lumo
c1sc(C2=Cc3oc4c(ccc5ccc6cscc6c45)c3[SiH2]2)c2[nH]ccc12,-6.259275396,-7.7778
c1ccc2c(c1)ncc1cc(ncc21)-c1cccc2ccccc12,-5.921304416,-7.8675
c1sc(-c2ccc(-c3ccc(cn3)-c3nccc4nsnc34)c3cocc23)c2cc[SiH2]c12,-7.608301939,-8.667
[nH]1cccc1-c1ccc2c3[se]c4cc[se]c4c3ncc2c1,-5.311510773,-7.6159
c1cc2c(o1)c1cnc3cc(oc3c1c1=C[SiH2]C=c21)-c1cccs1,-6.463791077,-8.1262
c1cc2c(c3c[nH]cc13)c1oc3C=C([SiH2]c3c1c1=CCC=c21)c1cccc2ccccc12,-5.851579514,-7.419
c1ccc(cn1)-c1cnc(-c2sc(-c3cccc4cocc34)c3cc[se]c23)c2nsnc12,-7.64214938,-8.7114
c1sc(-c2cc3c4cscc4c4c5ccccc5c5ccccc5c4c3s2)c2[nH]ccc12,-6.160057118,-7.7827
c1cc2oc3c(c2[se]1)c1ccccc1c1cc(-c2scc4occc24)c2ccccc2c31,-5.773180488,-7.7721
[nH]1c(cc2c1c1c(ccc3=CCC=c13)c1ccccc21)-c1nccc2nsnc12,-7.660132886,-8.5892
[nH]1c2ccoc2c2c3cocc3c3cc(-c4ccco4)c4c[nH]cc4c3c12,-5.24421337,-7.1893
c1cnc(s1)-c1cc2sc3c(c2s1)c1ccccc1c1cccnc31,-6.03628276,-8.0959
c1ccc(cc1)-c1ccc(cc1)-c1sc(c2Cccc12)-c1cccc2ccccc12,-5.08125978,-7.3968
[nH]1ccc2[nH]c3c(c4nsnc4c4cc(ccc34)-c3cccc4=CCC=c34)c12,-6.048876716,-7.69
c1sc(-c2sc(-c3ccc([se]3)-c3cccc4c[nH]cc34)c3[se]ccc23)c2[se]ccc12,-6.740995194,-8.0088
[nH]1c2C3=C([SiH2]c2c2[se]ccc12)C=C(C3)c1nccs1,-6.262448288,-7.8246
[nH]1c(cc2[SiH2]c3c(cnc4cccnc34)-c12)-c1cccc2=C[SiH2]C=c12,-6.82214599,-8.1115
c1cc2cc3cc4c(cc(-c5cccc6cscc56)c5=C[SiH2]C=c45)cc3cc2s1,-6.017263563,-7.857
c1cnc2-c3-[s]c4ccc5ccccc5c4-c3[SiH2]c2c1,-5.451037775,-7.6546
c1Cc(cc1)-c1ccc(s1)-c1[SiH2]c(cc1)-c1scc2[se]ccc12,-6.959829783,-8.1383
c1sc(-c2cc3cnc4c5c6cocc6ccc5c5=C[SiH2]C=c5c4c3o2)c2C=C[SiH2]c12,-6.583112339,-8.0418
c1ncc(s1)-c1cc2[se]c3c(c4cocc4c4ccc5cscc5c34)c2c2=CCC=c12,-6.680773859,-8.1257
[nH]1ccc2c3cCcc3c3c(c4cscc4c4ccc5nsnc5c34)c12,-6.973069462,-8.1086
[nH]1c(ccc1-c1ccc(-c2cccnc2)c2nsnc12)-c1scc2ccsc12,-7.237656947,-8.3922
c1ccc(s1)C1=Cc2cnc3c(c2[SiH2]1)c1cscc1c1ccc2=CCC=c2c31,-6.530207849,-7.9554
c1ccc(-c2cc3c4nsnc4c4ccc5c[nH]cc5c4c3s2)c2c[nH]cc12,-6.326600218,-7.8395
[nH]1c2cc(oc2c2c3nsnc3c3ccoc3c12)-c1cccc2c[nH]cc12,-6.363080094,-7.8232
[nH]1ccc2[se]c3c(ccc4cc(-c5cccs5)c5=C[SiH2]C=c5c34)c12,-6.384182632,-7.9213
c1cc2oc3c(c2c2c[nH]cc12)c1=CCC=c1c1cc(-c2ncncn2)c2c[nH]cc2c31,-6.436317381,-7.8197
c1ccc([se]1)-c1ccc2c(c1)c1=C[SiH2]C=c1c1c3ncccc3c3ccccc3c21,-5.557736006,-7.6431
c1ccc2c3cnc4cc(-c5cccc6nsnc56)c5cocc5c4c3c3=CCC=c3c2c1,-6.8306253,-8.2847
[nH]1c2ccc3=CCC=c3c2c2sc3cc(-c4cncc5nsnc45)c4ccccc4c3c12,-7.739670783,-8.5666
C1C=Cc2cnc3c4[SiH2]C(=Cc4c4cocc4c3c12)c1scc2occc12,-6.497110277,-7.9859
C1C=c2c3C=CCc3c3cc4c5c[nH]cc5c(cc4cc3c2=C1)-c1scc2C=CCc12,-5.579119915,-7.3519
C1C=c2c(cc3c4cscc4c4c5CC=Cc5ncc4c3c2=C1)-c1scc2nccnc12,-7.388316279,-8.4435
[nH]1cccc1-c1cc2cc3c4nsnc4c4ccc5cscc5c4c3cc2c2ccccc12,-6.658555107,-8.2075
c1ccc2c3sc4cc(sc4c3c3nsnc3c2c1)-c1cncc2nsnc12,-7.360887652,-8.8195
c1sc(-c2cc3cnc4c5ccccc5cnc4c3c3ccccc23)c2cc[nH]c12,-5.848399474,-7.6432
[nH]1c2C=C(Cc2c2ncc3ccoc3c12)c1ccccc1,-4.944403772,-7.2763
c1ccc(cn1)-c1cc2ccc3c(oc4ccc5=CCC=c5c34)c2c2cscc12,-5.991167226,-7.7705
c1[SiH2]c2c(c1)[se]c1c2c2c[nH]cc2c2ccc3c[nH]cc3c12,-5.523666749,-7.2614
c1sc(-c2ccc(cc2)-c2ccc(o2)-c2cccc3nsnc23)c2nccnc12,-7.301204083,-8.5236
c1[SiH2]c(cc1)-c1ccc(cn1)-c1sc(-c2cncs2)c2ccoc12,-6.607387682,-8.2119
[nH]1c2cc(ccc2c2[se]c3ccncc3c12)-c1cccc2ccccc12,-4.806504451,-7.3532
c1sc(-c2cc3oc4c(c3c3c[nH]cc23)c2=C[SiH2]C=c2c2ccncc42)c2ccoc12,-6.531743618,-7.9721
c1sc(-c2ccc(nc2)-c2ccc(s2)-c2scc3nccnc23)c2sccc12,-8.327007188,-8.9696
[nH]1cccc1-c1ccc(-c2sc(-c3[SiH2]ccc3)c3ccCc23)c2c[SiH2]cc12,-6.910306756,-8.0227
c1sc(C2=Cc3c(C2)c2c(ccc4=C[SiH2]C=c24)c2cocc32)c2nccnc12,-7.515705556,-8.4432
C1C=c2ccc3sc4c(ncc5cc(C6=CC=CC6)c6c[nH]cc6c45)c3c2=C1,-5.945111984,-7.6123
[SiH2]1C=Cc2c1c1[se]c3cc(-c4ccco4)c4c[nH]cc4c3c1c1cocc21,-8.270703648,-9.0625
c1ccc(cc1)-c1cc2cc3ccc4ccccc4c3cc2c2c[nH]cc12,-4.567439701,-7.0643
c1ccc(s1)-c1ccc(cc1)-c1ncc(-c2ncncn2)c2nsnc12,-7.602020059,-8.9429
c1ccc(s1)-c1ccc2c(c1)ncc1c3sccc3c3=CCC=c3c21,-6.080365011,-7.9182
[nH]1c2cc(-c3cccc4cocc34)c3ccccc3c2c2c3cocc3c3ccoc3c12,-5.035491446,-7.2756
c1ccc([se]1)-c1sc(-c2sc(-c3cccc4cocc34)c3[nH]ccc23)c2ccCc12,-6.573023347,-7.8784
c1ccc(cn1)-c1ccc(cn1)-c1ccc(nc1)-c1cccnc1,-5.602590142,-7.8473
[nH]1c(cc2[se]c3ccc4=CCC=c4c3c12)-c1ccco1,-4.612345976,-7.0808
c1cc2ncc3c(ncc4cc(-c5cccc6=CCC=c56)c5=CCC=c5c34)c2[se]1,-6.542169005,-8.0399
c1ccc2c(c1)c1=CCC=c1c1c3oc(cc3c3nsnc3c21)-c1ncncn1,-7.082240133,-8.5223
c1cc2oc3c(ncc4cc(-c5cccc6=CCC=c56)c5cocc5c34)c2c2cocc12,-5.950370338,-7.7587
[nH]1ccc2[SiH2]c3c(-c12)c1=CCC=c1c1cc(-c2scc4cc[nH]c24)c2nsnc2c31,-7.191937982,-8.1027
c1sc(-c2cc3ccc4c(c3s2)c2ccccc2c2ccc3=C[SiH2]C=c3c42)c2sccc12,-7.845237154,-8.3806
[nH]1c2ccc3=CCC=c3c2c2oc3cc(oc3c12)C1=CC=CC1,-5.617646079,-7.3719
[nH]1c2C=CCc2c2cc3c(cc(-c4scc5occc45)c4=CCC=c34)cc12,-5.905071013,-7.5407
[nH]1c(ccc1-c1sc(c2Cccc12)-c1scc2ccCc12)-c1cccs1,-5.734124534,-7.5296
C1C=Cc2oc3c(c12)c1cscc1c1cc(-c2cccc4c[nH]cc24)c2cocc2c31,-5.82492055,-7.5281
c1Cc(cc1)-c1cnc(s1)-c1sc(-c2scc3Cccc23)c2occc12,-6.756445239,-8.1304
[nH]1c2cc(cnc2c2sc3ccoc3c12)-c1scc2cc[se]c12,-5.659276819,-7.7154
c1ccc(s1)-c1ccc(-c2cnc(s2)-c2ccccn2)c2c[SiH2]cc12,-7.021762148,-8.2811
[SiH2]1C=Cc2c1csc2-c1cc2[se]c3c4[SiH2]C=Cc4c4cscc4c3c2c2ccccc12,-6.346178127,-7.9526
C1C=c2c(cc3c4cocc4c4c(ncc5ccc6c[nH]cc6c45)c3c2=C1)C1=CC=C[SiH2]1,-6.161688216,-7.6197
c1ccc(nc1)-c1cc2cc3c4nsnc4c4ccc5=CCC=c5c4c3cc2cn1,-6.704513213,-8.2254
[nH]1c(cc2c1c1cc3c(ccc4ccccc34)cc1c1ccccc21)-c1ccc[se]1,-5.189903047,-7.3943
C1C=c2cccc(-c3cc4c5cocc5c5cc6C=C[SiH2]c6cc5c4c4cocc34)c2=C1,-5.980419742,-7.669
c1ncc(s1)-c1ccc(-c2sc(-c3scc4[se]ccc34)c3[se]ccc23)c2nsnc12,-7.740218522,-8.7284
C1C=CC=C1c1cc2c3c[nH]cc3c3cc4C=CCc4cc3c2s1,-5.244810335,-7.2497
c1ccc(cn1)-c1ccc2c(c1)sc1c2c2cscc2c2ccc3nsnc3c12,-6.921546888,-8.4539
c1sc(c2C=C[SiH2]c12)-c1cnc2c3[se]c4ccncc4c3c3=C[SiH2]C=c3c2c1,-6.609068103,-8.2216
[nH]1c2cc(oc2c2c1c1[SiH2]C=Cc1c1ccccc21)-c1scc2ccoc12,-5.862873178,-7.5971
C1C=Cc2c1cc(-c1cc3c(ccc4ccccc34)c3c[nH]cc13)c1nsnc21,-8.458362397,-8.5065
c1ccc(cc1)-c1ccc([se]1)-c1ccc(-c2cccc3c[SiH2]cc23)c2nsnc12,-7.397715899,-8.446
c1[SiH2]c(cc1)-c1ccc(cn1)-c1sc(-c2ccco2)c2occc12,-6.333550802,-7.9734
[nH]1c2ccc3cscc3c2c2c3cscc3c3cc(sc3c12)-c1scc2CC=Cc12,-6.042333728,-7.7281
c1sc(-c2ccc3c4[se]c5ccc6cscc6c5c4c4cocc4c3c2)c2cc[nH]c12,-6.020765856,-7.7271
c1sc(c2C=CCc12)-c1cc2c3c[nH]cc3c3c4ccccc4cnc3c2c2=CCC=c12,-5.964859736,-7.5047
C1C=Cc2c1c1ncc3C=C(Cc3c1c1c[nH]cc21)c1cccc2nsnc12,-6.729025797,-8.1001
[nH]1c(cc2c1c1cc3[se]ccc3cc1c1=CCC=c21)C1=CC=C[SiH2]1,-5.615699736,-7.5228
C1C=Cc2c1csc2-c1cc2oc3c4CC=Cc4ccc3c2[se]1,-5.736364455,-7.6867
C1C=c2ccc3oc4cc5C=C(Cc5cc4c3c2=C1)C1=CC=C[SiH2]1,-6.095566676,-7.6997
[nH]1c-2c([SiH2]c3cc(-c4cccs4)c4cocc4c-23)c2[se]ccc12,-6.129189524,-7.7385
[nH]1ccc2ccc3c4[se]c(cc4ccc3c12)C1=CC=C[SiH2]1,-5.75307252,-7.6598
c1ccc(-c2cc3cnc4c(ccc5ccc6=C[SiH2]C=c6c45)c3cn2)c2=C[SiH2]C=c12,-8.916291588,-8.9479
[nH]1c(cc2sc3c(c12)c1=CCC=c1c1ccc2c[nH]cc2c31)C1=CC=C[SiH2]1,-6.089689048,-7.5239
c1cc2c(sc(-c3ccc(s3)-c3ncncn3)c2o1)-c1ncncn1,-7.245420457,-8.8928
C1C=c2c3cc4C=C[SiH2]c4cc3c3ncc(cc3c2=C1)-c1scc2occc12,-5.841618193,-7.7595
c1ccc(o1)C1=Cc2ncc3c(oc4ccc5ccccc5c34)c2[SiH2]1,-5.736404277,-7.7944
[nH]1ccc2c3cscc3c3c(ncc4cc(-c5cncc6nsnc56)c5cscc5c34)c12,-7.611150115,-8.7119
[nH]1c(cc2Cc3c(-c12)c1nsnc1c1ccc2cocc2c31)-c1cccnc1,-6.853842979,-8.2524
c1sc(-c2ncc(s2)-c2ccc(-c3ncncn3)c3ccccc23)c2ccCc12,-6.53315673,-8.3197
C1C=c2cccc(-c3ccc4c(c3)oc3c5[SiH2]C=Cc5ccc43)c2=C1,-5.70876682,-7.5649
c1ccc(-c2cc3ncc4c(c5c[nH]cc5c5ccc6nsnc6c45)c3o2)c2cocc12,-6.52601336,-8.131
[nH]1c(cc2c3cscc3c3c4[SiH2]C=Cc4[nH]c3c12)-c1scc2sccc12,-6.18292566,-7.5804
c1ccc(C2=Cc3ccc4c(c3C2)c2c[nH]cc2c2ccc3cscc3c42)c2nsnc12,-7.195151043,-8.2849
[nH]1c2cc(sc2c2oc3cc[se]c3c12)-c1scc2cc[se]c12,-5.894387743,-7.7179
[SiH2]1C=CC=C1c1cnc2c(c1)sc1c2c2ccccc2c2ccc3cscc3c12,-6.121220992,-7.9724
c1sc(-c2cnc3cc4c(cc3c2)c2=C[SiH2]C=c2c2ccc3cocc3c42)c2sccc12,-6.304816204,-7.9632
C1C=Cc2c1c1c3ccccc3c3cc([se]c3c1c1c[nH]cc21)-c1ccccn1,-5.703272513,-7.5597
c1cc2cnc3c4oc(cc4oc3c2o1)-c1scc2cc[nH]c12,-5.538982318,-7.5686
c1[SiH2]c(cc1)-c1sc(-c2ccc([se]2)-c2nccs2)c2[nH]ccc12,-6.946557535,-8.1194
c1ncc(s1)-c1cc2[se]c3c(ccc4ccc5cocc5c34)c2c2=CCC=c12,-6.58896436,-8.1134
c1sc(-c2cc3cc4sc5cccnc5c4cc3c3ccccc23)c2cc[nH]c12,-5.732037227,-7.6219
c1ccc(s1)-c1cc2cc3cnccc3cc2c2cscc12,-5.976434307,-7.9547
c1ncc(s1)-c1ccc(-c2ccc(-c3ncncn3)c3nsnc23)c2nsnc12,-7.720705108,-8.9979
c1ccc(cn1)-c1ccc(s1)-c1sc(-c2cccc3cocc23)c2ccsc12,-6.52972429,-8.0922
[nH]1c(cc2c1c1cc3ncccc3cc1c1=CCC=c21)-c1scc2nccnc12,-7.187775606,-8.3762
c1sc(-c2cnc3c(c2)c2cscc2c2cc4ccc5=C[SiH2]C=c5c4cc32)c2ccsc12,-6.383076571,-8.0199
c1sc(-c2cnc3c4[se]c5ccc6ccccc6c5c4ncc3c2)c2nccnc12,-7.57183424,-8.758
c1sc(-c2ccc(cc2)-c2sc(-c3scc4sccc34)c3ccsc23)c2[nH]ccc12,-6.73897913,-8.0682
[nH]1c2cc(oc2c2c3nsnc3c3ccccc3c12)-c1scc2cc[nH]c12,-6.357830713,-7.8618
c1ccc(nc1)-c1ccc(nc1)-c1sc(c2Cccc12)-c1cccc2cCcc12,-6.399121276,-7.9063
c1ccc(o1)-c1cc2c3cocc3c3cc4ccc5c[nH]cc5c4cc3c2c2cscc12,-5.90162934,-7.6454
[nH]1c2cc(ccc2c2c3cscc3c3ccsc3c12)-c1scc2cc[se]c12,-6.106184366,-7.6217
c1cnc2c(c1)c1cocc1c1cc3C=C(Cc3cc21)c1ncncn1,-6.445568559,-8.2516
[nH]1c2cc(sc2c2c1c1occc1c1=CCC=c21)C1=CC=CC1,-5.55637812,-7.3515
[SiH2]1C=CC=C1c1cc2c3cocc3c3ccncc3c2c2nsnc12,-6.979353429,-8.3919
[nH]1cccc1-c1cc2ncc3cc4cccnc4cc3c2cn1,-6.604943133,-8.2395
[nH]1c(ccc1-c1ccc(cn1)-c1[SiH2]ccc1)-c1Cccc1,-5.912284063,-7.6388
c1cc2c3cocc3c3c4oc(cc4oc3c2c2ccccc12)-c1cncc2nsnc12,-7.555755535,-8.7346
C1C=c2c3C=CCc3c3sc4cc(cnc4c3c2=C1)-c1cccc2cscc12,-6.268658788,-7.8351
[nH]1ccc2cc3oc4cc(oc4c3cc12)-c1scc2cc[se]c12,-5.64874765,-7.5893
c1cnc(-c2cc3oc4c(oc5ccc6nsnc6c45)c3cn2)c2nsnc12,-7.232987763,-8.7169
[nH]1ccc2ncc3c4sc(cc4cnc3c12)-c1cccc2cocc12,-5.776300733,-7.8279
[SiH2]1C=c2c3C=C[SiH2]c3c3c4cscc4c4cc(oc4c3c2=C1)-c1scc2sccc12,-7.23722484,-8.2636
c1sc(-c2ccc3c(c2)[se]c2c3ccc3ccc4=C[SiH2]C=c4c23)c2ccoc12,-6.388809659,-8.0394
[nH]1cccc1-c1ccc2c(c1)c1c[nH]cc1c1c3ccccc3c3cscc3c21,-5.243548648,-7.2736
c1cc2c3cocc3c3c4[se]c(cc4c4c[nH]cc4c3c2s1)-c1scc2C=C[SiH2]c12,-5.905489907,-7.6567
c1cc2cnc3c(c4nsnc4c4cc(-c5scc6occc56)c5=C[SiH2]C=c5c34)c2s1,-7.384424295,-8.4665
[nH]1c-2c(Cc3ccc4cscc4c-23)c2ncc(cc12)-c1cccc2c[nH]cc12,-5.983869388,-7.6225
c1ccc(cn1)-c1cc2c3c[nH]cc3c3c([se]c4ccc5cocc5c34)c2c2nsnc12,-6.951920939,-8.2869
c1ncc(s1)-c1cnc(-c2ncc(s2)-c2scc3ccCc23)c2nsnc12,-7.821794759,-9.0073
c1cc2oc3c(c2s1)c1=C[SiH2]C=c1c1cc(-c2cccnc2)c2=C[SiH2]C=c2c31,-7.406757603,-8.3709
[nH]1cccc1-c1cnc2c(c1)sc1c3cnccc3[se]c21,-5.641007037,-7.8705
[nH]1cccc1-c1cc2c3nsnc3c3c(oc4ccc5=C[SiH2]C=c5c34)c2c2=CCC=c12,-6.976614742,-8.132
c1ccc([se]1)-c1ccc(-c2sc(-c3ccccn3)c3[se]ccc23)c2nsnc12,-7.629596996,-8.632
C1C=Cc2c1c1cnc3cc(sc3c1c1ccccc21)-c1scc2occc12,-6.025475737,-7.9175
[nH]1c2cc(-c3cccc4=C[SiH2]C=c34)c3=C[SiH2]C=c3c2c2oc3cccnc3c12,-6.769997712,-7.8507
c1ccc(-c2cc3cc4c5cscc5ccc4cc3c3ccccc23)c2c[nH]cc12,-5.403453669,-7.4045
c1cc2c3c[nH]cc3c3c4oc(cc4[se]c3c2o1)-c1cncc2nsnc12,-7.56488531,-8.6148
C1C=c2c3cc(sc3c3ccc4C=CCc4c3c2=C1)-c1scc2sccc12,-6.166234377,-7.8159
[nH]1c2cc(cnc2c2oc3ccc4nsnc4c3c12)-c1ccccn1,-6.58575378,-8.3303
c1sc(-c2cnc3c4[se]c5ccccc5c4c4nsnc4c3c2)c2cc[nH]c12,-6.603078595,-8.1744
c1cnc2c3oc4cc(cnc4c3c3=C[SiH2]C=c3c2c1)-c1cccc2cocc12,-6.372768539,-8.0941
[nH]1ccc2c3c[nH]cc3c3c4[nH]c(cc4ncc3c12)-c1cccc2cscc12,-5.964596353,-7.6075
[nH]1c(cc2c3c[nH]cc3c3c4ncccc4[se]c3c12)-c1cccc2=CCC=c12,-6.060905134,-7.6202
c1ccc(s1)-c1cnc(s1)-c1ccc(-c2nccs2)c2ccccc12,-6.252497016,-8.1623
c1sc(-c2sc(-c3ncc(-c4ccccn4)c4nsnc34)c3[nH]ccc23)c2cc[se]c12,-7.649859234,-8.6045
[nH]1c(cc2c3c[nH]cc3c3cc4ccc5cscc5c4cc3c12)-c1ccco1,-5.23432266,-7.253
[nH]1ccc2oc3c4[nH]c(cc4c4nsnc4c3c12)-c1scc2cc[nH]c12,-6.164034595,-7.744
c1cc2cnc3c4c5cocc5ccc4c4c[SiH2]cc4c3c2c2cocc12,-6.394217327,-7.9694
[nH]1c-2c([SiH2]c3ccc4=CCC=c4c-23)c2c1cc(-c1cccc3=CCC=c13)c1nsnc21,-6.583909567,-7.8811
c1ccc2c3cc4ncc(cc4cc3c3=C[SiH2]C=c3c2c1)-c1cccc2c[nH]cc12,-5.996321241,-7.7197
c1cc2c3c[nH]cc3c3c4c5nsnc5c(cc4c4=CCC=c4c3c2s1)-c1ncncn1,-7.397588036,-8.4641
[nH]1c-2c(Cc3cc([se]c-23)-c2scc3occc23)c2occc12,-6.099769698,-7.7055
[SiH2]1C=CC=C1C1=Cc2ccc3c4ccccc4sc3c2[SiH2]1,-5.994467935,-7.788
c1ccc(s1)-c1cc2sc3c4sccc4c4=C[SiH2]C=c4c3c2c2=C[SiH2]C=c12,-6.89542956,-8.1294
c1ccc2c(c1)ncc1c2cnc2cc(-c3cncc4nsnc34)c3=C[SiH2]C=c3c12,-7.631973285,-8.709
c1sc(c2[SiH2]C=Cc12)-c1cc2sc3c(c4cocc4c4ccncc34)c2c2=C[SiH2]C=c12,-6.824372781,-8.2133
c1cnc(s1)-c1sc(-c2ccc(-c3scc4[nH]ccc34)c3cCcc23)c2ccoc12,-7.090119548,-8.1107
c1cc2[se]c3c4CC(=Cc4ccc3c2[se]1)c1cncc2nsnc12,-7.368231525,-8.6971
c1cc2cnc3c(ccc4cc(-c5scc6[SiH2]C=Cc56)c5=CCC=c5c34)c2s1,-5.998143172,-7.7427
[nH]1c(cc2[SiH2]c3c(sc4ccoc34)-c12)-c1cccc2=C[SiH2]C=c12,-6.824115173,-8.0185
[SiH2]1C=c2ccc3cc4ccc5cc(cnc5c4cc3c2=C1)C1=CC=C[SiH2]1,-6.118308776,-7.8636
c1sc(-c2ccc(nc2)-c2sc(-c3scc4sccc34)c3nccnc23)c2nccnc12,-7.772230129,-8.7686
c1ccc(nc1)-c1sc(-c2Cc(cc2)-c2cccc3ccccc23)c2cc[se]c12,-6.536778519,-7.9846
[nH]1c2ccc3cscc3c2c2sc3cc(-c4scc5C=C[SiH2]c45)c4=C[SiH2]C=c4c3c12,-6.890722875,-8.1273
[nH]1ccc2c1c1c3cscc3c3C=C(Cc3c1c1ccccc21)c1cccc2cscc12,-6.314292174,-7.8016
c1ccc(s1)-c1cc2[se]c3c4ccccc4oc3c2c2=C[SiH2]C=c12,-9.280762746,-9.3196
C1C=Cc2c1csc2-c1ccc2c(c1)c1ccccc1c1c3CC=Cc3c3c[nH]cc3c21,-5.396137935,-7.2848
